video_id,author,text,like_count,published_at
GJeFoEw9x0M,@madden6993,Well well well,0,2025-06-04T14:01:11Z
GJeFoEw9x0M,@wvo72,"Honestly, a  dominant USA  AI would be more trustworthy than China AI? Sounds like same shit different sauce to me.",0,2025-06-04T14:01:09Z
GJeFoEw9x0M,@chrispowers5568,This guy talking about genius concepts yet can’t fix that crazy ass eyebrow 🤨,0,2025-06-04T14:01:04Z
GJeFoEw9x0M,@gathrightcrystal,It's documented Biden 💻,0,2025-06-04T14:00:44Z
GJeFoEw9x0M,@Ali-s9r3z,"Trump focuses on his reputation and interests first, America last, and citizens on the margins.",0,2025-06-04T14:00:33Z
GJeFoEw9x0M,@gathrightcrystal,Blaming a computer for a computer 🤡,0,2025-06-04T14:00:09Z
GJeFoEw9x0M,@misterfunnybones,"I'm a cybernetic organism, living tissue over a metal endoskeleton.",0,2025-06-04T14:00:08Z
GJeFoEw9x0M,@gathrightcrystal,That's not ai we have the 🧾 ask the state department 🤣🧾💻🎥,0,2025-06-04T13:59:14Z
GJeFoEw9x0M,@chrispowers5568,By fictitious he means affairs employees absolutely had. 😆,0,2025-06-04T13:58:50Z
GJeFoEw9x0M,@gathrightcrystal,Great movie Hunter 💻🎥,0,2025-06-04T13:58:04Z
GJeFoEw9x0M,@gathrightcrystal,ICC is going to love this w 51 signatures and denied security because I am white w Germany fighting blackrock 💻🎥,0,2025-06-04T13:57:22Z
GJeFoEw9x0M,@drB762,"Marketing strategy? ""All publicity is good publicity""....",0,2025-06-04T13:57:14Z
GJeFoEw9x0M,@fintamaria2429,"😂😂 😂 You should be afraid of who has the monopoly, just like what happens with tiktok and other networks",0,2025-06-04T13:57:03Z
GJeFoEw9x0M,@itcoming9758,If that doesn't tell you we need to stop this NOW.. As he said he dosnt even understand what's inside AI,0,2025-06-04T13:57:01Z
GJeFoEw9x0M,@gathrightcrystal,It's the computer blackmailing documented and saved w 51 signatures and security denied because I am white w everyone a witness wonderland 💻,0,2025-06-04T13:56:41Z
GJeFoEw9x0M,@ninirema4532,Good evening with good luck 🙏🙏❤️👌🪔🪔🪔🪔🪔🪔🪔🪔🙏❤️,0,2025-06-04T13:56:38Z
GJeFoEw9x0M,@zipzikin7084,this how old movies tell us from the beginnings,0,2025-06-04T13:56:09Z
